一 e
爪 env
爬 ecl
父 bxx
爸 bc
爸 bxc
爸 bxcl
片 pi
片 piv
片 py
牙 xp
牙 yp
牛 sj
牠 sal
物 snm
犬 adn
玉 kaa
王 ke
玩 krr
珠 ksb
珠 kss
現 kmr
瓜 ga
瓜 gn
瓜 gnv
生 se
用 nqj
田 qo
由 iqo
甲 qi
甲 qii
甲 qiiv
申 ii
申 iqi
男 qdx
男 qdy
畫 eqe
畫 equ
畫 equv
畫 tqu
登 be
登 jde
發 axu
發 fx
發 jkj
發 jkl
發 jqru
白 pdo
百 tdo
的 d
的 pdna
皮 px
目 mo
直 je
直 jl
直 jme
直 jml
相 tm
相 tmo
看 hm
看 hmo
真 fmlb
真 jba
真 jmeb
真 jmlb
眼 mdk
知 vdo
石 loo
示 rsa
祖 rsm
神 rsi
神 rsii
福 rq
福 rseq
禾 hn
禾 hnv
秋 hfn
秋 rchf
科 hdj
種 hci
種 hciv
種 hcj
種 hcjv
種 hgq
穴 nba
穴 nbn
穴 nbnv
空 nbi
空 nri
穿 nbx
穿 nby
穿 nrx
穿 nry
立 le
童 lqe
竹 zi
笑 zed
笑 zgn
笑 zpd
笑 zpdv
第 zp
第 zqip
第 zqp
第 ztp
筆 zej
筆 zml
節 rpi
節 zadp
節 zap
節 zdup
節 zgi
節 zpi
米 mn
紅 sie
細 sqo
結 syo
給 sao
經 sesi
經 ssi
經 sui
經 suy
綠 scew
綠 sew
綠 xs
羊 bhj
美 bkd
羽 eee
羽 eep
習 ed
習 ee
習 eepd
老 ypf
者 ho
者 hov
者 yd
者 ydo
者 ypad
者 ypd
而 ri
而 tnr
耍 rgx
耍 tnrg
耳 rj
聲 yc
聲 ycp
聲 ycrr
聲 yrj
聽 oki
聽 okiv
聽 rh
聽 rjfh
聽 rkj
聽 rkjh
肉 nbb
肖 sue
背 ffu
背 jffu
胡 fu
胡 jou
胡 jouv
胡 vfu
胡 vjou
能 ul
能 uuff
自 p
自 pm
自 pmo
至 pe
良 adk
良 adkv
良 an
色 dcl
色 ncl
花 rpf
苗 rqo
苦 rjo
英 rcn
草 rdj
荷 rpto
菜 ret
菜 rmn
菜 rmnv
葉 ojj
葉 ojjv
葉 rst
著 bhm
著 bkpm
著 rd
著 rho
著 ryd
著 rypd
虎 zrl
虎 zrz
蛋 fbc
蛋 yzc
蝴 cfu
蝴 cjou
蝶 cst
蝸 conb
蝸 cqo
行 miri
行 mv
衣 lkn
裝 gk
裝 gylk
裡 vq
裡 vqe
西 co
要 cgx
要 v
見 mrl
視 rr
視 rsmr
親 ll
親 ltmr
親 ltn
親 ltnv
言 io
記 ifl
許 iwj
訴 ika
詞 ieo
詞 iyeo
話 igo
語 iwo
說 ibor
說 ir
誰 ive
課 iqt
請 ihu
讀 ib
讀 ijm
讀 ijyb
讀 ijyd
讀 ixbd
讀 iyfb
讀 iym
讀 iynr
豆 de
象 ncq
象 nn
象 nnv
貓 eqrq
貓 qrq
貓 uqrq
貝 mba
貫 oa
貫 ommb
貫 oxmb
買 fmb
買 ma
買 ybd
走 yzn
起 yl
起 yzfl
起 yzol
足 ozn
跑 on
跑 ozn
跑 oznl
跑 oznv
跟 ok
跟 okv
跟 ozdk
跟 qz
路 lo
路 ozpo
跳 ozr
跳 ozrb
身 sx
躲 srt
車 cj
辛 lj
追 pbw
送 bedw
送 bgnw
送 gwn
這 iwn
這 wwn
造 sow
連 cwn
進 jwn
進 vwn
過 awn
過 qow
道 btmw
道 hwn
遠 rrw
遠 yokw
遠 yw
還 bwn
還 bwnv
還 feow
還 own
邊 daw
邊 dwn
邊 mw
邊 pmnw
那 ebi
都 hbi
都 yb
都 ydb
都 ypab
都 ypdb
釆 mn
釆 mnv
里 qe
里 vqe
里 wqe
重 gq
重 gqe
金 ae
錯 ard
長 ekn
長 kn
門 mi
門 my
開 kj
開 mkj
間 mdo
院 bnrr
院 br
院 yn
陽 bdem
陽 bdo
陽 bdov
陽 bdvm
陽 bep
陽 bm
隻 vux
雄 xuv
雞 eqaf
雞 eqnf
雞 evv
雞 ewdf
雞 ewdv
雞 unf
雨 ua
雪 uee
雲 uta
青 hue
面 gcth
面 gcto
面 gcty
面 gpth
面 gpto
面 gpty
面 lcth
面 lcto
面 lcty
面 lpth
面 lpto
面 lpty
面 tj
面 toh
音 ldo
頁 ta
頁 tmb
頭 bda
頭 bdn
頭 dta
頭 dtmb
風 rca
風 rxx
風 rxxv
飛 fj
飛 lba
飛 zba
食 xn
飯 xlu
飽 xnl
飽 xnol
首 btm
首 ho
香 hdo
馬 mfa
高 lhno
高 lno
高 lono
高 q
高 qv
魚 ufa
鳥 nfa
鴨 qinf
麻 lbtt
麻 ltt
麼 lpu
麼 lpuv
麼 lttu
麼 lttw
麼 lw
麼 pua
黃 ka
黃 reqb
黃 riqb
黃 rqb
黃 rqbv
黃 rtqb
黑 qfa
點 ao
點 qfzo
點 qzof
點 zod
點 zof
鼻 pmqr
鼻 pqer
鼻 pqr
丈 qx
丙 en
丙 enb
丙 tnb
丙 tnbv
並 be
並 befe
並 bkj
並 bkjv
並 boe
串 cci
串 ccj
之 az
之 azn
乎 hj
乎 hjv
乘 gffs
乘 gs
亂 etnl
亂 gol
予 ui
互 dee
井 jj
些 zfr
些 zr
亞 efe
亞 oe
亡 bll
亡 fl
享 lhz
享 loz
享 lzj
介 br
介 bri
介 briv
介 brv
介 vr
仔 pzj
付 paa
仙 pei
代 pax
令 api
令 ata
件 psj
份 pbd
伯 ppd
伴 pbj
伸 pii
伸 piqi
佈 pxn
低 pav
低 pxa
低 pxe
作 pf
作 pvf
使 pc
使 pjc
使 pjcx
使 pvx
例 pdr
依 pk
依 plk
便 ptqx
便 ptx
俗 pbbo
俗 pwo
保 pot
修 pipm
修 pipu
修 pp
倉 ado
倉 bpl
倒 ppr
值 pje
值 pjl
值 pjme
值 pjml
偉 pwj
偉 pwos
偷 pai
偷 paur
傘 bbbj
傘 bbj
備 p
備 ppq
備 pqo
備 pqov
備 prlq
備 prpq
傳 pcua
傳 pjqa
傳 pqa
傳 pxa
傷 pvd
傷 pvdm
傷 pve
充 tl
充 trl
先 srl
全 bk
全 bke
其 kba
典 fba
典 rorb
冷 bap
冷 bat
准 bve
准 bvj
准 wvj
分 bdp
切 cdp
划 aqr
划 aqrv
划 ar
划 arv
划 eqer
划 tqur
列 dri
初 vdp
利 hri
制 snr
制 snrk
刻 lhr
剛 nber
剛 nr
剛 nxr
努 gud
勇 tdx
勇 tdy
勇 tnqd
勇 tqd
勝 ubnd
勝 ud
勝 use
勞 ffnd
勞 rnd
勞 snd
勞 sndv
勤 rcd
匹 frl
區 fooo
區 fv
區 fxx
卓 qj
卓 qjv
卓 zdj
卡 fpa
卵 dapa
卵 eppa
卵 fypa
卷 bnp
卷 jbnl
卷 jbnp
卷 jpl
卷 pl
卻 bbop
卻 wpi
卻 yup
厚 ldz
厭 lad
厭 ldud
厭 yn
及 pux
及 rnn
及 rnx
叔 fsu
取 rux
受 enu
句 noo
另 odx
另 ody
召 doo
召 doov
召 dv
台 rcuo
台 rxuo
台 tte
台 tuo
台 tyop
台 uo
台 uoo
台 yonp
史 cx
吊 oni
吊 oniv
吊 onj
吊 qij
名 coo
吐 oye
君 eoo
吵 osp
吸 opu
吸 orn
呆 ot
呆 otn
呆 otnv
呆 otv
呈 oke
周 no
周 nwn
周 nyo
周 nyow
味 oqb
味 oys
呼 ohj
咬 olx
哈 oao
唐 leo
唸 oayh
商 lnbo
商 lnro
商 xo
啦 ojl
善 bhbo
善 bhro
善 bkbo
善 bkro
善 bv
喊 oaqo
喊 oko
喬 edoo
喬 gi
喬 giv
喬 gnoo
喬 gnr
喬 gnrv
喬 go
喬 gov
喬 pdoo
單 bqj
單 oj
單 ooqj
嗇 woo
嘩 oaj
嘩 opfj
嘩 orjq
嘴 oy
嘴 ozfn
器 of
器 om
器 ooao
困 mot
困 otn
圈 obnl
圈 obnp
圈 op
圈 opl
圖 obx
圖 oojo
圖 oolo
圖 opb
圖 ot
坪 ypj
垂 ge
垂 gjjy
垂 gry
埋 yqe
城 yaqn
城 yaqy
城 yay
堂 snoy
堂 sy
